Quartiers;Sites;Adresse;Type;Activités (nombre);Nature;L x l x h;Eclairage;Arrosage;Vest joueurs (Arbitres);Sanitaires;Douches;Capacité sécurité;Tribunes;Club House;Catégorie;Date;Acces Hand;Toilette Hand
4.1;Amouroux;4 Impasse W. et C. Booth;City stade;;;;;;;;;;;;;;;
4.1;Amouroux pelouse Football;4 Impasse W. et C. Booth;Terrain;Football 11et 7;Gazon;100X60;oui;oui;2+4;;;;100;oui;;;O;N
4.1;Amouroux Stabilisé Football;4 Impasse W. et C. Booth;Terrain;Football 11et 7;Stabilisé;100 x 60;oui;oui;;;;;;;;;O;N
4.1;Bonnefoy Raynal;25 rue de Périole;Boulodrome;;;;oui;;;;;;;;;;O;N
4.1;Bonnefoy Sob;6 rue des Archives;Boulodrome;;;;;;;;;;;;;;O;N
4.1;Les hauts de Bonnefoy foot à 7;Rue Giuseppe Garibaldi;Terrain;Football à 7, Basket (1);Herbe, Ciment;;;;;;;;;;;;O;N
4.1;Amouroux;12 Rue d' Arles;Boulodrome;;;;oui;;;;;;;;;;O;N
4.1;Lapujade;29 chemin de Lapujade;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.1;Rex;118 rue de Périole;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.1;William et Catherine Booth ;4 rue W. et C. Booth;Boulodrome;;;;oui;;;;;;;;;;O;N
4.2;Argoulets  gymnase;52 rue Dinetard;Gymnase;Basket (1), Volley (4), Handball (1), Badmington (7);;43.90 x 24.30 x 11;;;5;;5 collective;353 personnes;183 places;;3ème;;O;O
4.2;Argoulets Baseball;29 Rue de Rabastens;Terrain;Baseball;Gazon;;oui;;;;;;;;;;O;N
4.2;Argoulets pelouse Football n°1;29 Rue de Rabastens;Terrain;Football 11et 7;Gazon;100x66;oui;oui;0+2;;;;;;;;O;N
4.2;Argoulets pelouse Football n°2;Rue Louis Plana;Terrain;Football 11 et 7;Gazon;105x68;oui;oui;4+2;;;;;;;;O;N
4.2;Argoulets pelouse Football n°3;29 Rue de Rabastens;Terrain;Football 11et 7;Gazon;100x66;oui/50%;oui;;;;;;;;;O;N
4.2;Argoulets pelouse Rugby 1;29 Rue de Rabastens;Terrain;Rugby / Football à 7;Gazon;116x66;oui;oui;;;;;;;;;O;N
4.2;Argoulets pelouse Rugby 2;29 Rue de Rabastens;Terrain;Rugby ;Gazon;80x55;oui;oui;;;;;;;;;O;N
4.2;Argoulets Pierre Cahuzac;29 Rue de Rabastens;Terrain;Football / Rugby;Gazon;105x68;oui;oui;4+2;;;;396;oui;;;O;N
4.2;Argoulets Stabilisé Football;29 Rue de Rabastens;Terrain;Football / hockey;Stabilisé;100x64;oui;oui;;;;;;;;;O;N
4.2;Argoulets Synthétique Football Américain;Rue Louis Plana;Terrain;Football 11/ américain;Synthéthique;110X50;oui;;2+4;;;;;;;;O;N
4.2;Complexe sportif CEAT;8 Rue d'Oran;Plateau multisports extérieur;Basket, Handball, piste 400 m;;;;;;;;;;;;;O;N
4.2;Complexe sportif CEAT dojo;8 Rue d'Oran;Dojo;Combat;;;;;2;;;19 personnes;;;;;O;N
4.2;Complexe Sportif CEAT pelouse Football;8 Rue d'Oran;Terrain;Football 11et 7;Gazon;100x68;oui;oui;;;;;;;;;O;N
4.2;Soupetard;44 rue Louis Plana;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.2;Soupetard gymnase;11 Rue de la Solidarité;Gymnase;Basket (1), Volley (1), Handball (1);;30 x 20 x 6;;;2;;2 collective;200 personnes;;;;;O;N
4.2;Acacia;20 Rue de l'Obélisque;Plateau multisports extérieur;mini Basket (2), Handball(2);Synthétique;;;;;;;;;;;;N;N
4.2;Alex Jany;Rue de Gaillac;Patinoire, piscine;;;;;;;;;;;;;;O;O
4.2;Argoulets;30 Rue de Rabastens;Boulodrome;;;;non;;;;;;;Non;;;N;N
4.2;Carbonne;8 Rue Gongous;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.2;Jolimont;rue Képler;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.2;Képler;Rue Jean Montariol;City stade;Basket 1, Handball 1;Enrobé;;;;;;;;;;;;N;N
4.2;La Gloire;Rue Soupetard;Plateau multisports extérieur;Basket, (1);Enrobé;;;;;;;;;;;;O;N
4.2;La Roseraie;8 avenue du parc;Boulodrome;Lyonnaise;;;oui;;;;;;;oui;;;O;N
4.2;Opac;Impasse Soupetard;Plateau multisports extérieur;Basket, Handball, Volley;Enrobé;;;;;;;;;;;;O;N
4.2;Salonique;57 av de la Gloire;Boulodrome;;;;;;;;;;;oui;;;O;N
4.2;Soncourt Bertrand gymnase;46 Chemin Cassaing;Gymnase;Basket (1), Volley (4), Handball (1), Badmington (7);;40 x 20.50 x 6,11;;;3;3;3 ind, 2 coll;480 personnes;380 places;;;;O;N
4.3;Château de l'Hers;13 Chemin de Limayrac;Plateau multisports extérieur;Basket(3), Handball(1), piste 250 m,sautoir hauteur(1);;;;;;;;;;;;;O;N
4.3;Château de l'hers Grand Gymnase;13 Chemin de Limayrac;Gymnase;Basket (1), Volley (1), Handball (1), pelote;;30 x 24.10 x 9;;;2;2;;720 personnes;;;5ème;;O;N
4.3;Château de l'hers pelouse Football;13 Chemin de Limayrac;Terrain;Football 11et 7;Gazon;;;;;;;;;;;;O;N
4.3;Château de l'hers Petit Gymnase;14 Chemin de Limayrac;Gymnase;Mini Basket( 1), Volley (1), Roller;;20 x 11.5 x 6.62;;;1;2;2 individuelle;180 personnes;;;5ème;;O;N
4.3;Complexe de l'Hers plateau sportif;6 Bis Rue Claudius Rougenet;Plateau multisports extérieur;mini Basket(2), Handball(1);Enrobé;;;;;;;;;;;;O;N
4.3;Complexe sportif de l'Hers pelouse Rugby synthétique;6 Rue Claudius Rougenet ;Terrain;Rugby, Football à 11;Synthétique;100x65;oui;oui;;;oui;;;oui;;;O;O
4.3;Salle d'Armes Louis Julien;6 Bis Rue Claudius Rougenet;Salle;Escrime;;;;;;;;;;;;;;
4.3;Stade Alain Coulon;8 Rue Claudius Rougenet;Terrain;Rugby;Gazon;100x65;;oui;4+2;;oui;;320;oui;;;O;O
4.3;ZAC de l'Hers Stabilisé football à7;8 Rue Claudius Rougenet;Terrain;Football  7;Stabilisé;60x45;oui;;;;;;;;;;O;N
4.3;ZAC de l'Hers Synthétique football;8 Rue Claudius Rougenet;Terrain;Football 11et 7;synthétique;105x60;oui;oui;4+1;;oui;;;;;;O;N
4.3;Grande Plaine;10 Avenue Jean Gonord;bi-cross;;;;;;;;;;;;;;O;N
4.3;Grande Plaine;10 Avenue Jean Gonord;Skate-Park;;;;;;;;;;;;;;O;N
4.3;Grande Plaine pelouse Football;10 Avenue Jean Gonord;Terrain;Football 11 et 7;Gazon;105x68;oui;oui;2+4;;;;;;C;1997;N;N
4.3;Grande Plaine Stabilisé football;10 Avenue Jean Gonord;Terrain;Football 11 et 7;Stabilisé;100x59;oui;oui;;;;;;;;;N;N
4.3;Sergent Vigné pelouse football;22 Rue de Lille;Terrain;Football 11 et 7;;98x66;oui;;1+2;;;;;oui;5;1995;O;N
5.1;Anatole France gymnase;21 Boulevard de la Méditerranée;Gymnase;Basket (1), Badmington;;30 x 17 x 4;;;2;2;;68 personnes;;;5ème;;O;N
5.1;Guillaumet;30 Chemin Bitet;Plateau multisports extérieur;Basket, Handball, Football;;;;;;;;;;;;;O;N
5.1;Guillaumet gymnase;30 Chemin Bitet;Gymnase;Volley (1), Gymnastique, Escalade;;25.6 x 10.8 x 6.2;;;1;2;8 individuelle;2710 personnes;;;4ème;;O;N
5.1;Guillaumet pelouse football;30 Chemin Bitet;Terrain;Football à 11 et 7;Gazon;;;;;;;;;;;;O;N
5.1;Montaudran pelouse Football;3 Impasse Gaston Génin;Terrain;Football 11 et 7;Gazon;100X60;oui;oui;1+2;;;;;;C;1998;O;N
5.1;Ribaute pelouse Football;Chemin de ribaute;Terrain;Football;Gazon;;;;;;;;;;;;O;N
5.1;Ribaute pelouse Rugby;Chemin de ribaute;Terrain;Rugby;Gazon;;;;;;;;;;;;O;N
5.1;Struxiano;113 Avenue de Lespinet;Plateau multisports extérieur;Basket (2), Handball (2), Volley (3), Saut, Lancer, Piste 100 m;;;;;;;;;;;;;O;N
5.1;Struxiano pelouse Football;113 Avenue de Lespinet;Terrain;Football;Gazon;110x66;;oui;2+4;;;;;oui;;;O;N
5.1;Struxiano pelouse Rugby;113 Avenue de Lespinet;Terrain;Rugby;Gazon;100x60;oui;oui;;;;;;oui;;;O;N
5.1;Struxiano Synthétique Football;113 Avenue de Lespinet;Terrain;Football 11 et 7;Synthéthique;100x66;oui;oui;2+6;;;;900;oui;C5;2006;O;N
5.1;Struxiano tennis;113 Avenue de Lespinet;Tennis;;;;;;;;;;;;;;O;N
5.1;De Nadaï Jean;rue émile Lécrivain;Boulodrome;;;;;;;oui;;;;oui;;;O;N
5.1;Emilien Colombies;impasse Trutat;Boulodrome;;;;oui;;;oui;;;;oui;;;O;N
5.1;La Butte;rue des Chardons;Boulodrome;;;;;;;;;;;;;;O;N
5.1;La Terrasse foot à 7;Impasse Schrader;Terrain;Football à 7 mini Basket (1), skate;Herbe, Ciment;;;;;;;;;;;;O;N
5.1;Laffont Emile;258 avenue Jean Rieux;Boulodrome;;;;;;;;;;;;;;O;N
5.1;Parc Alalouf;Av Saint Exupéry;Plateau multisports extérieur;Basket;;;;;;;;;;;;;O;N
5.1;Pont des Demoiselles;place Roger Arnaud;Boulodrome;;;;oui;;;oui;;;;oui;;;O;N
5.2;Pech David pelouse football 1;82 Chemin des cotes de Pech David;Terrain;Football 11;Gazon;100X60;oui;oui;6+2;;;;;;;;O;N
5.2;Pech David pelouse rugby 1;82 Chemin des cotes de Pech David;Terrain;Rugby;Gazon;102X70;oui;oui;6+2;;;;;;;;O;N
5.2;Robert Barran Stade;82 Chemin des cotes de Pech David;Terrain;Football 11;Gazon;100x66;oui;oui;6+2;;;;376;;B;2007;O;N
5.2;Bellevue patinoire;86 Chemin de la salade Ponsan;Patinoire;;;;;;;;;;;;;;O;O
5.2;Bellevue piscine;86 Chemin de la salade Ponsan;Piscine ;;;2 x 25 m + 12,3 m + 10,70 m;;;;;;;;;;;O;O
5.2;Bellevue salle d'activité 1er ét;86 chemin de la Salade Ponsan;Salle;Danse, tennis de table;;23.50 x 9.50;;;;;;;;;;;O;O
5.2;Bellevue tennis;86 Chemin de la salade Ponsan;Tennis ;Tennis;greenset;;;;;;;;;;;;O;O
5.2;Moulin Jean;7 Avenue des écoles J. Julien;Plateau multisports extérieur;Basket 4, Handball 2, Piste 250 m, lancer (1), saut (2);;;;;;;;;;;;;O;N
5.2;Moulin Jean gymnase;7 Avenue des écoles J. Julien;Gymnase;Basket (1), mini basket (4) , Volley (1), Badmington (1), Tennis, Escalade;;30 x 20 x 8;;;;;;150 personnes;;;5ème;;O;N
5.2;Pech David Piscine (Eté, Hiver);82 Chemin des cotes de Pech David;Piscine ;Aquagym, Plongée, Loisirs;;25 m;;;;;;;;;;;O;O
5.2;M. Sardaing;Chemin de Narrade;Boulodrome;;;;oui;;;;;;;;;;O;N
5.2;Pouvourville;4 Impasse de Sarrangines;City-Stade;Hand(1), mini Basket(1), Volley(1), football;Synthétique;;;;;;;;;;;;N;N
5.2;Pouvourville Foot à 7 Synthétique;4 Impasse de Sarrangines;Terrain;Football à 7;Synthétique;65*45;oui;oui;4+1;;;;;;;;O;N
5.2;Pouvourville Football Honneur;4 Impasse de Sarrangines;Terrain;Football à 11;Gazon;100X63;oui;oui;1+4;;;;;oui;;;O;N
5.2;Rangueil;62 Rue de Nimes;Boulodrome;;;;oui;;;;;;;;;;O;N
5.2;Rangueil (COSEC) gymnase;27 Chemin du canal;Salle;Gymnastique;;40 X 20 X 8;;;4;;;100 personnes ;;;3ème;;O;N
5.2;Rangueil (COSEC) salle d'activité 1er ét;27 Chemin du canal;Salle;Gymnastique;;20 x 15 x 8;;;;;;38 personnes;;;3ème;;O;N
5.2;Rangueil (COSEC) salle d'activité rdc;27 Chemin du canal;Salle;Gymnastique, Boxe;;20 x 16 x 6;;;;;;47 personnes;;;3ème;;O;N
5.2;Rangueil Foot à 5;62 Rue de Nimes;Terrain;Football à 5;synthétique;;non;;;;;;;;;;N;N
5.2;Rangueil pelouse Football;62 Rue de Nimes;Terrain;Football 11 et 7;Gazon;105x68;oui;oui;1+2;;;;;;;;O;N
5.2;Rangueil skate park;27 Chemin du Canal;Skate-park;;;;;;;;;;;;;;O;N
5.2;Rangueil tennis;27 Chemin du Canal;Tennis;;;;;;;;;;;;;;O;N
5.2;Sordelo pelouse Cricket;112 Chemin des coteaux de Pech David;Terrain;Cricket;Gazon;100x64;;;5+1;;;;;;;;O;N
5.2;Sordelo pelouse Football n°1;112 Chemin des coteaux de Pech David;Terrain;Football;Gazon;100X60;oui;oui;5+1;;;;;;C;1999;O;N
5.2;Sordelo pelouse Rugby n°1;112 Chemin des coteaux de Pech David;Terrain;Rugby;Gazon;100x65,5;oui;oui;5+1;;;;;;;;O;N
5.2;Sordelo Stabilisé football;112 Chemin des coteaux de Pech David;Terrain;Football 11 et 7;Stabilisé;100x78;oui;oui;5+1;;;;;;;;O;N
5.2;Viala Léon;42 avenue de Rangueil;Boulodrome;;;;oui;;;oui;;;;oui;;;O;N
5.2;Boule Argent R.1, R.2, R.3;27 Rue Jeanne Marvig;Boulodrome;;;;oui;;;oui;;;;;;;O;N
5.2;Roux Etienne;rue Léon Viala;Boulodrome;;;;oui;;;oui;;;;oui;;;O;N
5.3;Corbarrieu pelouse Rugby honneur;2 Avenue de Lattre de Tassigny;Terrain;Rugby;Gazon;120x70;oui;oui;2+6;;;;;oui;;;O;O
5.3;Corbarrieu Synthétique football;2 Avenue de Lattre de Tassigny;Terrain;Football 11 et 7;Synthéthique;105x65.5;oui;oui;2+6;;;;900;;;;O;O
5.3;Daste;29 Rue de Toulon;Plateau multisports extérieur;mini Basket (3), Football, Handball(1), Piste 100 m;;;;;;;;;;;;;O;N
5.3;Daste gymnase;29 Rue de Toulon;Gymnase;Basket (1), Volley (1), Handball (1);;21 x 12 x 5.2;;;2;;;;;;4ème;;O;N
5.3;Empalot;rue des Pélicans;Boulodrome;;;;oui;;;oui;;;;;;;O;N
5.3;Empalot Daste Recollets;place André Daste;Boulodrome;;;;oui;;;;;;;;;;O;N
5.3;Empalot Mail;rue de Menton;Boulodrome;;;;oui;;;;;;;;;;O;N
5.3;Empalot Poudrerie;Rue des Goelands;City-Stade;Basket(1),Hand(1), football;Enrobé;;;;;;;;;;;;O;N
5.3;Aviron Toulousain parc des sports;Allées Ferdinand Jourdan;Base nautique;Aviron;;;;;;;;;;;;;O;O
5.3;Canoë;Chemin de la loge;Base nautique;Canoë-Kayak;;;;;;;;;;;;;O;N
5.3;Nakache Piscine;7 Allées Gabriel Biènes;Piscine ;Plongée, aquagym, scolaires, loisirs;;25 m + 15,95 m;;;;;;;;;;;N;N
5.3;Parc des Sports pelote basque;7 Allées Gabriel Biènes;Fronton;Pelote;;;;;;;;;;;;;O;N
5.3;Parc des Sports Pelouse 1 CFA;Allées Gabriel Biénes ;Terrain;Football à 11;Gazon;105X68;oui/400;oui;4+2;;;;300;oui;E3;2003;O;O
5.3;Parc des Sports Pelouse 2 Pro;Allées Gabriel Biénes;Terrain;Football à 11;Gazon;105X68;;oui;4+2;;;;;;;;O;O
5.3;Parc des Sports Pelouse Gardiens;Allées Gabriel Biénes ;Terrain;Football à 7;Gazon;105X68;;;4+2;;;;;;;;O;O
5.3;Parc des Sports Piscine Eté;3 Allées Gabriel Biènes;Piscine ;Loisirs;;150 m + 25 m ;;;;;;;;;;;O;O
5.3;Parc des sports salle agrés 1er ét;7 Allée Gabriel Biénès;Gymnase;Gymnastique poutre;;15.97 x 9.65 x 4.42;;;1;4;4 individuelle;38 personnes;;;4ème;;O;N
5.3;Parc des sports salle agrés RDC;7 Allée Gabriel Biénès;Gymnase;Gymnastique agrés;;24.5 x 15.95 x 7.9;;;2;2;2ind / 2 coll;96 personnes;;;5ème;;O;N
5.3;Parc des sports salle praticable 1er ét;7 Allée Gabriel Biénès;Gymnase;Gymnastique praticable;;15.97 x 14.58 x 4.42;;;;;;58 personnes;;;4ème;;O;N
5.3;Parc des Sports Synthétique Foot à 7 et 5;7 Allées Gabriel Biènes;Terrain;Football à 7 et à 5, mini Basket (2),Piste 206.49 m, saut, lancer.;Synthétique;;;;;;;;;;;;O;N
5.3;Parc des Sports Synthétique n°3 football;Allées Gabriel Biénes ;Terrain;Football à 11;Synthéthique;105X68;oui/250;;4+2;;;;;;E5;2003;O;O
5.3;Parc des Sports Synthétique n°4 football;Allées Gabriel Biénes;Terrain;Football à 11;Synthéthique;105X68;oui/250;;4+2;;;;;;;2003;O;O
5.3;Parc des Sports Synthétique n°5 Brice Taton;Allées Gabriel Biénes;Terrain;Football à 11;Synthéthique;105X68;oui/250;;4+2;;;;;;;;O;O
5.3;Parc des Sports Tennis;7 Allées Gabriel Biènes;Tennis;Tennis, Tennis de table (4);;;;;;;;;;;;;O;O
5.3;Parc des Sports terrain sportif d'accès libre Beach Volley / Soccer;7 Allées Gabriel Biènes;Terrain sable;Beach-soccer, beach Volley (3);;;;;;;;;;;;;O;N
5.3;Parc des Sports terrain sportif d'accès libre synthétique 1 et 2;7 Allées Gabriel Biènes;City-Stade;City - stade (2);;;;;;;;;;;;;O;N
5.3;Piscine sportive Castex;3 Allées Gabriel Biènes;Piscine;Natation;; 50 m;;;;;;;;;;;O;N
5.3;Pont Garigliano basket;7 allées Gabriel Biénès;Plateau multisports extérieur;Basket (7);Enrobé;;;;;;;;;;;;O;N
5.3;Stadium;Allées Gabriel Biénes;Terrain;Football et Rugby;Gazon;105X68;oui/E1;oui;2+1;;;;35 775;oui;A;2004;O;O
5.3;Grand Rond;Allée Frédéric Mistral;Boulodrome;;;;oui;;;oui;;;;;;;O;N
5.3;Roger Pradier piscine;46 Rue des Saules;Piscine;;; 25 m;;;;;;;;;;;O;N
;Pinel;place Pinel;Boulodrome;;;;oui;;;;;;;oui;;;O;N
