Quartiers;Sites;Adresse;Type;Activités (nombre);Nature;L x l x h;Eclairage;Arrosage;Vest joueurs (Arbitres);Sanitaires;Douches;Capacité sécurité;Tribunes;Club House;Catégorie;Date;Acces Hand;Toilette Hand
6,5;Gironis;35 Rue de Gironis;Boulodrome;;;;oui;;;;;;;oui;;;O;N
;Gironis gymnase;35 Rue de Gironis;Gymnase;Basket (1),Mini Basket (2), Handball (1), Volley (1), Tennis (1);;40 x 20 x 8;;;6;7;5 ind, 6 coll;678 personnes;214;;3ème;;O;O
;Gironis salle tennis de table 1er ét;35 Rue de Gironis;Salle;Tennis de Table;;25 x 14 x 5;;;;;;64 personnes;;;;;O;O
;Gironis salle gym/combat 1er ét;35 Rue de Gironis;Salle;Gymnastique;;21 x 7 x 5;;;;;;57 personnes;;;;;O;O
;Gironis salle danse rdc;35 Rue de Gironis;Salle;Danse;;15 x 5.8 x 2.50;;;;;;14 personnes;;;;;O;O
;Gironis;35 Rue de Gironis;Piste;Piste 400 m;;;;;;;;;;;;;O;O
;Gironis ;35 Rue de Gironis;Fronton;Pelote;;;;;;;;;;;;;N;N
;Gironis  pelouse football Annexe;35 Rue de Gironis;Terrain;Football à 11;Gazon;105x68;oui;;2+(1);;;;;;;;N;N
;Gironis  herbe Foot à 7;35 Rue de Gironis;Terrain;Football à 7;Gazon;57x86;oui;oui;4+(2);Oui (Public);;;;oui;;;N;N
;Gironis  pelouse Foot Honneur;35 Rue de Gironis;Terrain;Football à 11 et à 7;Gazon;95x66;oui;oui;4+(2);Oui (Public);;;15;oui;5;2001;N;N
;Gironis  pelouse Rugby Honneur;35 Rue de Gironis;Terrain;Rugby;Gazon;105x68;oui;oui;2+(1);;;;;oui;;;N;N
;Gironis  Football Synthétique;35 Rue de Gironis;Terrain;Football à 11 et à 7;Synthétique;100X60;oui;oui;4+(2);Oui (Public);;;;oui;;;N;N
6,3;Jardin de l'hippodrome;Impasse de l'hypodrome;Plateau multisports extérieur;Basket;Enrobé;;;;;;;;;;;;O;N
2,4;Jardin du  Barry;rue gaston Ramon;Boulodrome;;;;oui;;;;;;;oui;;;O;N
2,4;La Cépière Gymnase;Rue Charles Mouly;Gymnase;Basket (1), Mini-basket (6), Volley (3), Handball (1), Tennis;;40,07 X 23,94;;;2;1;2 collective;?;;;4ème;;N;N
;La Cépière;Rue Charles Mouly;Plateau multisports extérieur;Basket (2), , Handball (3), lancer, piste 100m et 180 m;;;;;;;;;;;;;O;N
2,3;La Faourette gymnase;18 Rue Paul Lambert;Gymnase;Basket (1), Mini-Basket (6), Volley (4), Handball (1), Badmington (7);;44 X 26 X 7;;;8;18;8 ind, 2 coll;368 personnes;;;3ème;;O;O
;La Faourette salle boxe;18 Rue Paul Lambert;Salle;Combat (Boxe);;16 X 16 X 2.7;;;2;;;?;;;3ème;;O;O
;La Faourette dojo;18 Rue Paul Lambert;Salle;Combat (Judo);;15 X 15 X 2.7;;;2;;;?;;;3ème;;O;O
;La Faourette salle musculation;18 Rue Paul Lambert;Salle;Musculation;;11 X 5 X 2.7;;;;;;?;;;3ème;;O;O
;Stade Michel Monerris;18 Rue Paul Lambert;Terrain;Football à 11 et à 7;Gazon;100x65;oui;oui;4+(3);Oui (Public);;;214;oui;5;;O;O
;La Faourette;18 Rue Paul Lambert;Plateau multisports extérieur;Basket(2), handball (1), saut, piste 310 m;Enrobé;;;;;;;;;;;;O;N
;Ukraine City Stade ;Rue de l'Ukraine;City-Stade;Football, volley;Enrobé;;;;;;;;;;;;N;N
;La Boule d' Or ;Rue de l' Ukraine;Boulodrome;Lyonnaise ;;;oui;;;Oui;;;;oui;;;O;N
;La Boule Joyeuse;Rue de l' Ukraine;Boulodrome;;;;oui;;;Oui;;;;;;;O;N
6,2;La Mounède pelouse Football n°1;1 Rue M.C. Perroud;Terrain;Football à 11 et à 7;Gazon;100x60;non;oui;2+(2);Oui (Public);;;;;5;1998;N;N
;La Mounède pelouse Football n°2;1 Rue M.C. Perroud;Terrain;Football à 11 et à 7;Gazon;100x68;oui;oui;2+(2);Oui (Public);;;;;5;1998;N;N
;La Mounède Football à 7;1 Rue M.C. Perroud;Terrain;Football à 7;Gazon;50x45;;oui;2+(2);Oui (Public);;;;;;;N;N
;La Mounède Stabilisé Football;1 Rue M.C. Perroud;Terrain;Football à 7;Stabilisé;72x50;;oui;2+(2);Oui (Public);;;;;;;N;N
6,2;La Ramée gymnase;66 Chemin de Larramet;Gymnase;Basket (1), Volley (1), Badmington (3), Roller;;42 x 22 x 6.00;;;;5;4 ind, 2 coll;?;380;;3ème;;N;N
;La Ramée tennis;67 Chemin de Larramet;Tennis;;;;;;;;;;;;;;N;N
;La Ramée pelouse Football n°1;66 Chemin de Larramet;Terrain;Football à 11 et à 7;Gazon;98x67;;oui;3+(6);Oui (Public);;;;oui;5;?;N;N
;La Ramée pelouse Football n°2;66 Chemin de Larramet;Terrain;Football à 7;Gazon;98x67;;oui;3+(6);Oui (Public);;;;oui;;;N;N
;La Ramée pelouse Football n°3;66 Chemin de Larramet;Terrain;Football à 11 et à 7;Gazon;100x66;;oui;2+(4);Oui (Public);;;;oui;5;;N;N
;La Ramée Stabilisé Football;66 Chemin de Larramet;Terrain;Football à 11;Stabilisé;108X64;;oui;1+(2);Oui (Public);;;;oui;;;N;N
;La Ramée Synthétique football;66 Chemin de Larramet;Terrain;Football à 11 et à 7;Synthétique;105x68;oui;;2+(4);Oui (Public);;;;oui;5;2002;O;O
;La Ramée pelouse Honneur;66 Chemin de Larramet;Terrain;Rugby, Football à  11;Gazon;100x66;;oui;3+(6);Oui (Public);;;376;oui;5;?;O;O
;La Ramée Vestiaires 4;66 Chemin de Larramet;Terrain;Football à 11;Gazon;100x66;oui;oui;1+(2);Oui (Public);;;;oui;5;2002;O;O
6,5;La Saudrune pelouse Football n°1;21 Chemin de la Saudrune;Terrain;Football à 11 et à 7, Rugby;Gazon;100x65;oui/50%;oui;2+(1);Oui (Public);;;;oui;5;1999;N;N
;La Saudrune pelouse Football n°2;21 Chemin de la Saudrune;Terrain;Football à 7;Gazon;60x51;;oui;2+(1);Oui (Public);;;;oui;;;N;N
;La Saudrune pelouse Football n°2;21 Chemin de la Saudrune;Terrain;Football à 7;Gazon;60x51;;oui;2+(1);Oui (Public);;;;oui;;;N;N
6,2;Lardenne;Place Sauvegrain;Boulodrome;;;;oui;;;Oui;;;;oui;;;O;N
;Lardenne gymnase;Rue Rocamadour;Gymnase;Volley, Basket;;20*12*5,35;;;1;oui;5ind;;;;;;O;O
;Lardenne Foot à 7 Petit Capitole;64bis Avenue de Lardenne;Terrain;Football à 7;Gazon;81X60;oui;non;6+(2);Oui (Public);;;;oui;;;O;O
;Lardenne (petit Capitole);153bis Avenue de Lardenne;Gymnase;Basket (1), Mini- Basket (2), Volley (1) Badmington (3);;28 x 17 x 8.50;;;6;6;4 ind, 6 coll;548 personnes;;;3ème;;O;O
;Lardenne pelouse Football n°1;64bis Avenue de Lardenne;Terrain;Football à 11 et à 7;Gazon;100X60;oui;oui;6+(2);Oui (Public);;;;oui;5;2002;O;O
;Lardenne pelouse Football n°2;64bis Avenue de Lardenne;Terrain;Football à 11 et à 7;Gazon;100X60;oui;oui;6+(2);Oui (Public);;;;oui;;;O;O
;Aurélien Feuillet;64bis Avenue de Lardenne;Terrain;Football à 11 et à 7;Gazon;100X60;oui;oui;6+(2);Oui (Public);;;;oui;5;2002;O;O
2,3;Les Merlettes;64 allée  de Guyenne;Plateau multisports extérieur;Basket, Handball, Volley;Gazon;;;;;;;;;;;;N;N
;Les Merlettes pelouse football;64 Allée de Guyenne;Terrain;Football à 11 et à 7;Gazon;100*65;oui;oui;2+(1);Oui (Public);;;;non;5;2009;O;O
6,2;Les Pradettes gymnase;6 Rue Ferdinand de Lesseps;Gymnase;Basket (1), Mini- Basket (1), Volley (1), Badmington (4), Tennis (1);;36 X 21.7 X 7;;;8;4;2 ind, 2 coll;351 personnes;40;;;;N;N
;Les Pradettes;6 Rue Ferdinand de Lesseps;Plateau multisports extérieur;Basket (1);;;;;;;;;;;;;O;N
;Les Pradettes salle danse 1er ét;6 Rue Ferdinand de Lesseps;Salle;Danse;;14.36 X 6.77 X 2.80;;;;;;50 personnes;;;;;N;N
;Les Pradettes dojo 1er ét;6 Rue Ferdinand de Lesseps;Salle;Combat;;14.26 X 5.68 X 2.80;;;;;;50 personnes;;;;;N;N
;Les Pradettes pelouse Football;6 Rue Ferdinand de Lesseps;Terrain;Football à 11;Gazon;98.5x63.5;;oui;4+(2);Oui (Public);;;150;;5;2000;O;O
;Les Pradettes Synthétique football;6 Rue Ferdinand de Lesseps;Terrain;Football à 11 et à 7;Synthétique;100*60;oui;oui;4+(2);Oui (Public);;;;;;;O;O
;Les Pradettes pelouse Rugby;6 Rue Ferdinand de Lesseps;Terrain;Rugby, Football à 7;Gazon;98.4x65;;oui;4+(2);Oui (Public);;;;;;;O;O
;Les Pradettes ;12 rue Ferdinand de Lesseps;Boulodrome;;;;oui;;;;;;;oui;;;O;N
;Viollet le Duc herbe foot à 7;Rue Viollet le duc;Terrain;Football à 7;Enherbé;;;;;;;;;;;;O;N
6,3;Lou Bosc;Rue Françis Laulanie;Boulodrome;;;;oui;;;;;;;oui;;;O;N
2,1;Les Fontaines pelouse Football;89 Rue des Fontaines;Terrain;Football à 11 et à 7;Gazon;100X65;oui/335.48;oui;4+(2);;;;430;oui;3;2007;N;N
;Maurois;Passage André Maurois;Foot à 7;;;;;;;;;;;;;;;
6,2;Marcel Cerdan gymnase;7 Chemin de la Cépiére;Gymnase;Basket (1), Mini- Basket (2), Volley (1), Handball (1) , badmington (3), Tennis (1);;40 x 25 x 8;;;4;4;2 ind, 2 coll;200 personnes;175;;3ème;;O;O
;Marcel Cerdan salle activité rdc;7 Chemin de la Cépiére;Salle;Combat ( boxe);;20 X 15 X 8;;;;;;75 personnes;;;3ème;;O;O
;Marcel Cerdan salle activité 1er etage;7 Chemin de la Cépiére;Salle;Gymnastique;;25.5 x 17 x 4;;;;;;50 personnes;;;3ème;;O;O
;Marcel Cerdan;7 Chemin de la Cépiére;Plateau multisports extérieur;Handball (1), piste 80m, saut haut(1),saut long(1) Lancer poids(6);;;;;;;;;;;;;O;O
;Marcel Cerdan pelouse Football;7 Chemin de la Cépiére;Terrain;Football à 11 et à 7;Gazon;100X65;oui;oui;4+(2);Oui (Public);;;;;;;N;N
;Marcel Cerdan Stabilisé football;7 Chemin de la Cépiére;Terrain;Football à 11;Stabilisé;100X65;oui;oui;4+(2);Oui (Public);;;;;;;N;N
6,4;Marcel Sarcos pelouse football;10 Chemin de Liffard;Terrain;Football à 11 et à 7;Gazon;100X65;oui;oui;4+(2);Oui (Public);;;386;oui;3;2001;O;O
;Marcel Sarcos ;Chemin de Liffard;Plateau multisports extérieur;Basket;;;;;;;;;;;;;O;N
;Marcel Sarcos skate park;Ch de Liffard;Skate-Park;Roller;;;;;;;;;;;;;O;N
;Marcel Sarcos Foot à 7;10 Chemin de Liffard;Terrain;Football à 7;Gazon;58*40;oui;oui;4+(2);Oui (Public);;;;;;;O;O
;Marcel Sarcos Synthétique football;10 Chemin de Liffard;Terrain;Football à 11 et à 7;Synthétique;89*56;oui;oui;4+(2);Oui (Public);;;;;;;O;O
6,3;Marmande;Chemin des Capelles;Terrain;Football à 7;Gazon;;;;;;;;;;;;O;N
2,3;Mathieu city stade;Place André Mathieu;Multisports;Handball;Synthétique;;;;;;;;;;;;N;N
6,3;Mirail;6 Rue Ferdinand Laulanié;Plateau multisports extérieur;Piste 120 m, Basket, Handball, Football;Terre;;;;;;;;;;;;O;O
;Mirail tennis;6 Rue Ferdinand Laulanié;Tennis;Tennis (4);;;;;;;;;;;;;O;O
;Mirail Stabilisé football;6 Rue Ferdinand Laulanié;Terrain;Football à  11 et 7;Stabilisé;100X65;oui;oui;4+(1);Oui (Public);;;;;;;O;O
;Mirail Foot à 7;6 Rue Ferdinand Laulanié;Terrain;Football à 7;Gazon;54x44;;;4+(1);Oui (Public);;;;;;;O;O
;Mirail (COSEC) gymnase;6 Rue Ferdinand Laulanié;Gymnase;Basket (1), Mini-Basket (3) Volley(3), Handball (1), Badmington (5), Tennis (1);;40 X 20 X 8;;;4;4;2 ind, 2 coll;200 personnes;;;3ème;;O;O
;Mirail (COSEC) salle d'activité rdc;6 Rue Ferdinand Laulanié;Salle;Gymnastique;;20 x 15 x 8;;;;;;175 personnes;;;3ème;;O;O
;Mirail (COSEC) salle d'activité 1er ét;6 Rue Ferdinand Laulanié;Salle;Danse, Combat;;25 x 15 x 4;;;;;;50 personnes;175;;3ème;;O;O
;Mirail (Laulanié) gymnase;6 Rue Ferdinand Laulanié;Gymnase;Basket (1), Mini-Basket (2), Handball (1), Badmington (5), Escalade;;44 x 25 x 8;;;4;4;4 ind, 4 coll;230 personnes;;;3ème;;O;O
;Mirail (Laulanié) salle combat;6 Rue Ferdinand Laulanié;Salle;Combat (Boxe);;10 x 8 x ?;;;;;;13 personnes;;;3ème;;O;N
;Mirail (Laulanié) salle escalade;6 Rue Ferdinand Laulanié;Salle;Escalade;;23 X 7.3 X 7.20;;;;;;30 personnes;;;;;O;N
2,4;Montané pelouse football ;5 Avenue Raymond Badiou;Terrain;Football à 11 et à 7;Gazon;100X65;oui 1/4;oui;4+2;Oui (Public);;;;;5;;N;O
;Montané Pierre;5 Avenue Raymond Badiou;Gymnase;Basket (1), Volley (1), Handball (1), Badmington (7);;44 X 26 X 7;;;4;8;2ind, 4 coll;336 personnes;186;;3ème;;N;N
;Montané Pierre;5 Avenue Raymond Badiou;Plateau multisports extérieur;Piste 400 m,Aire de lancer de poids(1);;;;;;;;;;;;;O;O
2,3;Papus;Rue du Béarn;Boulodrome;;;;oui;;;;;;;oui;;;O;N
;Papus piscine;64 Allée de Guyenne;Piscine ;Plongée, aquagym;;25 m;;;;;;;;;;;O;N
;Patte d'Oie;87 Rue de Cugnaux;City-Stade;;;;;;;;;;;;;;;
2,4;Pouvillon;Impasse Pouvillon;Plateau multisports extérieur;Basket;;;;;;;;;;;;;O;N
2,4;Pouvillon herbe foot à 7;Impasse Pouvillon;Terrain;Football à 7;Enherbé;;;;;;;;;;;;O;N
2,1;Prairie des Filtres;Rue Laganne;Multisports;Basket;Enrobé;;;;;;;;;;;;O;N
;Cours Dillon;Cours Dillon;Boulodrome;;;;oui;;;Oui;;;;oui;;;O;N
;Digue Fer à Cheval;Cours Dillon;Boulodrome;;;;oui;;;Oui;;;;oui;;;O;O
;Cazabonne;Cours Dillon;Boulodrome;;;;;;;;;;;;;;O;N
2,1;Puig Jean François;4 Rue Coupefer;Gymnase;Basket (1), Volley (1);;31.38 X 22.50 X 8;;;2;2;2 collective;200 personnes;105;;4ème;;O;N
2,1;Ravelin;Place du Ravelin;Boulodrome;;;;;;;;;;;;;;N;N
2,1;Roguet;rue de Gascogne;Boulodrome;;;;;;;;;;;;;;N;N
6,3;Reynnerie Synthétique Foot à 7;Rue Jean François lesueur;Terrain;Football à  7 à 5 et à 2, piste 200m;Synthétique;;;;;;;;;;;;O;N
;Messager ;Rue André Messager;Plateau multisports extérieur;Basket, Handball, football;enrobé;;;;;;;;;;;;N;O
;Messager ;Rue André Messager;City-Stade;Basket, Handball, football;Synthétique;;;;;;;;;;;;N;O
;Reynerie gymnase;3 Rue Louise Michel;Gymnase;Volley (1), Basket (1);;;;;;;;;;;;;O;N
;Reynerie;Rue Sarrabézolles;Boulodrome;;;;oui;;;;;;;;;;N;O
;Jean Gilles foot à 7;Rue Jean Gilles;Terrain;Football à 7 (2)  Tennis de table (2);Enrobé et enherbé;;;;;;;;;;;;O;N
6,1;Saint Martin du Touch;Chemin de Tournefeuille;Gymnase;Basket (1), Volley (1) Badmington (4);;32 x 20.50;;;4 + (1);7;2 ind, 2 coll;167 personnes;;;5ème;;O;N
;Saint Martin du Touch herbe;Rue Sentenac;Terrain;Football à 7;Gazon;;;;;;;;;;;;O;N
;Saint Martin du Touch ;Rue Sentenac;Plateau multisports extérieur;Handball, Basket;Enrobé;;;;;;;;;;;;O;N
6,4;Jean Daniel;chemin du cimetière de l'Eglise;Boulodrome;;;;oui;;;;;;;oui;;;O;N
2,3;Tabar;Rue de la Sarthe;Boulodrome;;;;oui;;;;;;;;;;O;N
;Tibaous;Rue Albert Carovis;City-Stade;;;;;;;;;;;;;;;
2,4;Parc des Sports Georges Aybram;8 Rue Ernest Dufer;Terrain;Rugby;Gazon;120*67;oui;oui;4+(2);Oui (Public);;;1045;oui;2ème;;N;O
;TOEC pelouse Rugby Honneur;8 Rue Ernest Dufer;Terrain;Rugby;Gazon;95x66;oui;oui;4+(2);Oui (Public);;;;;;;N;O
6,3;Valmy gymnase;Cheminemt G.et J. Bouton;Gymnase;Basket (1), Mini-Basket (3) Volley (3), Handball (1), Badmington (4), Escalade;;40 x 20;;;;3;1 ind, 2 coll;200 personnes;;;3ème;;O;O
;Valmy salle arts martiaux;Cheminemt G.et J. Bouton;Salle;combat;; 20 X 14,70;;;;;;88 personnes;;;3ème;;O;O
;Valmy salle danse;Cheminemt G.et J. Bouton;Salle;Danse;; 14,42 X 10,51 X 6;;;;;;50 personnes;;;;;O;O
;Valmy dojo;Cheminemt G.et J. Bouton;Salle;Combat;; 14,42 X 10,51 X 6;;;3;6;3 ind;50 personnes;;;3ème;;O;N
;Valmy salle musculation;Cheminemt G.et J. Bouton;Salle;Musculation;;7,71 X 7,60 X 4;;;;;;19 personnes;;;3ème;;O;N
;Valmy;Cheminemt G.et J. Bouton;Plateau multisports extérieur;Handball (2);;;;;;;;;;;;;O;N
;Valmy ;Cheminemt G.et J. Bouton;Plateau multisports extérieur;Basket (3);;;;;;;;;;;;;O;N
;Valmy ;Cheminemt G.et J. Bouton;Plateau multisports extérieur;piste 220m,Lancer de poids(1);;;;;;;;;;;;;O;N
;Valmy tennis;Cheminemt G.et J. Bouton;Tennis;Tennis (4);;;;;;;;;;;;;O;N
;Valmy skate park;Cheminemt G.et J. Bouton;Skate-Park;Roller;;;;;;;;;;;;;O;N
6,3;Vergers;Impasse des Vergers;Multisports;Basket 1, mini basket 2;Enrobé;;;;;;;;;;;;O;N
6,3;Vergers;Impasse des Vergers;Multisports;Basket, Handball, football;Enrobé;;;;;;;;;;;;O;N
